Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
16.0,18.0,15.0,12.0,11.5,11.0,20.0,18.0,5.0,3.0,Baik,Baik,Baik,,,,A-,B-,A-,A-,B+,A-,79.16166666666668,3.46
11.0,16.0,13.0,13.0,12.0,11.0,20.0,17.0,5.0,4.0,Tinggi,Baik,Tinggi,,,,B,A-,B,B+,B+,A-,77.495,3.22
9.0,17.0,10.0,14.0,11.5,11.0,20.0,19.0,7.0,6.0,Cukup,Tinggi,Baik,,,,A-,B+,A-,B+,B+,B+,79.16166666666668,3.12
12.0,11.0,12.0,10.0,12.0,10.5,20.0,12.0,13.0,2.0,Cukup,Kurang,Tinggi,,,,B+,B+,B+,A-,A-,A-,79.995,3.41
16.0,15.0,11.0,9.0,11.5,9.0,17.0,15.0,7.0,8.0,Baik,Cukup,Kurang,,,,B+,E,A,A-,A-,A,74.99666666666667,3.45
17.0,9.0,11.0,11.0,12.5,10.5,20.0,14.0,5.0,19.0,Kurang,Cukup,Baik,20.280893124360084,14.967599942271614,18.09144893111639,B+,B,A,A-,A,A,84.9975,3.25
18.0,18.0,11.0,13.0,14.5,13.0,16.0,13.0,3.0,14.0,Baik,Baik,Tinggi,15.87040245727337,13.813032183576276,14.76603325415677,B,B+,B,B+,B+,A-,76.66166666666668,3.11
15.0,9.0,11.0,10.0,10.0,9.5,20.0,15.0,5.0,20.0,Cukup,Cukup,Cukup,,,,A,B+,A,A-,B+,B+,83.33,3.42
16.0,9.0,10.0,10.0,9.5,9.0,20.0,15.0,13.0,3.0,Baik,Kurang,Tinggi,,,,A-,B,B+,A-,A-,A-,79.995,3.39
13.0,9.0,5.0,6.0,7.5,7.5,,,,,,,,,,,B+,B+,B+,B+,B+,A,79.99583333333334,3.47
17.0,13.0,11.0,12.0,9.0,10.0,20.0,14.0,7.0,9.0,Cukup,Kurang,Cukup,18.075647790816728,17.27673545966229,15.953681710213777,A,B,A-,B+,B+,A-,80.82916666666667,3.65
18.0,13.0,11.0,11.0,12.5,9.0,17.0,13.0,1.0,16.0,Cukup,Baik,Cukup,20.280893124360084,15.544883821619283,17.85391923990499,A,B+,A,A-,A,A-,86.66416666666667,3.69
